plot,logger,serial,start,end,pu1_P_RT_NRT,pu2_1,pu2_2,wxt_SWDR_300,wxt_SWUR_300,wxt_LWDR_300,wxt_LWUR_300,SERIAL_PYR01,SERIAL_PYR02,SERIAL_PAR01,SERIAL_PAR02,pu2_1_type,pu2_2_type
sun1,rug,51021020198,2011-10-25,2013-02-15,,,,,,,,,,,,,
sun1,rug,51111220726,2013-11-20,2013-12-27,,,,,,,,,,,,,
sun2,rug,51021020212,2011-10-25,2012-02-28,,,,,,,,,,,,,
sun2,rug,51071120459,2012-02-29,2013-11-19,,,,,,,,,,,,,
sun2,rug,51111220725,2013-11-20,2013-12-27,,,,,,,,,,,,,
sun3,rug,51021020225,2011-10-25,2012-01-18,,,,,,,,,,,,,
sun3,rug,51071120479,2012-01-19,2012-02-29,,,,,,,,,,,,,
sun4,rug,51021020217,2011-10-25,2012-02-28,,,,,,,,,,,,,
sun4,rug,51071120469,2012-02-29,2013-11-19,,,,,,,,,,,,,
sun4,rug,51111220728,2013-11-20,2014-09-18,,,,,,,,,,,,,
sav4,rug,51071120478,2016-10-21,*,,,,,,,,,,,,,
mai3,pu1,80081526563,2017-07-12,*,0.2,,,,,,,,,,,,
fod3,pu1,80081326081,2017-10-31,*,0.2,,,,,,,,,,,,
hom2,rug,80111721457,2018-03-14,*,,,,,,,,,,,,,
sav3,rug,80111721483,2018-03-21,*,,,,,,,,,,,,,
cof6,rug,80111721493,2018-03-14,*,,,,,,,,,,,,,
fod4,rug,80111721476,2018-02-27,*,,,,,,,,,,,,,
flm6,rug,80111721492,2018-02-27,*,,,,,,,,,,,,,
fer0,pu2,80111721453,2018-01-29,*,,0.2,0.2,,,,,,,,,fog,rain
foc5,rug,80111721502,2018-02-08,*,,,,,,,,,,,,,
